brand,rating,review,date_experience
Shein,1,Cets horrible franchement livraison express au final le colis arrive après la date demander je suis très déçu aller fermer votre commerce pour être polie,22 janvier 2025
Shein,1,Je n’ai pas reçu ma commande,22 janvier 2025
Shein,1,Aucune réponse claire,22 janvier 2025
Shein,1,Il me manque toujours une commande du mois de décembre j aimerai être remboursé merci,22 janvier 2025
Shein,1,En pleine dispute ils ont cloture la dispute sans me repondre et toujours pas de remboursement!!!,05 février 2025
Shein,1,"Plus que pénible pour obtenir réparation ! Un article manquant dans le colis arrivé troué, photos à l'appui et ils font tourner en rond pour ne pas rembourser !",06 février 2025
Shein,2,La commande ne correspond pas à mes attentes Cordialement,04 février 2025
Shein,1,Un peu déçu de la livraison j'ai commande En janvier deux colis nous sommes quand même en févier Je trouve ça inadmissible car pour Encaisser  l'argent C'est rapide mais pour recevoir les colis cela est très long je suis très déçu je vais voir si je commanderais toujours sur ce site madame Müller Murielle,04 février 2025
Shein,2,"Bonjour une livraison que je n ai jamais eu pour Noël, aucune réponse malgré tous mes mails",20 janvier 2025
Shein,3,Je suis déçue car les article ne ressemblent pas aux  photos de présentation.Les photos sont embelliies et pas réalistes par rapport aux objets.,04 février 2025
Shein,1,"Pour ma part très mauvaise expérience, colis volé par le transporteur et aucune action de la part de SHEIN pour trouver une solution",21 janvier 2025
Shein,1,J ai indiqué que je nai pas eu mon colis Et ils n'ont pas pris en compte ma réclamationPas de nouveau colis.....pas de remboursement !,21 janvier 2025
Shein,3,un peu dessus les cœur autocollant était un peu abîmé et les papillon je penser qu’il était plus gros,04 février 2025
Shein,1,"J'ai pas reçu toutes ma commande, pas possible de faire une réclamation correcte sur le site. Dès article défectueux. Plus de 4 jours j'attends un retour du service après vente.",20 janvier 2025
Shein,1,Commande incomplète et très difficile d’interroger le service client,21 janvier 2025
Shein,1,Les deux petits aspirateurs mains sont de qualité médiocre ainsi que la poile     cela n engagé que mon avis personnelle par contre le pouf gonflable est très bien ai.si que les accessoires,04 février 2025
Shein,3,"La livraison est rapide, mais la qualité de ce qu'on voit sur internet,  ne correspond vraiment  pas à ce que nous recevons. Revoyez la qualité des produits proposés.",04 février 2025
Shein,3,Décevant chere et jamais de geste commercial ou de cadeaux et,21 janvier 2025
Shein,1,Ĺes matières sont très bas de gamme. Vêtements semblables à des déguisements.,21 janvier 2025
Shein,2,"De plus en plus déçu, article souvent défectueux ou abîmé,produits manquants, il faut toujours faire appel au service client",04 février 2025
Shein,2,La couleur n est pas vraiment la même et les housse de coussin de canapé taillent petits,04 février 2025
Shein,2,"Une commande arrivant très en retard. Une autre ou le produit fonctionnait pas. Et encore une, où un trou dans le colis + le sac contenant l'article, résultat reçu qu'1 seul sur le lot commandé et commande pas encore signalé comme arrivée donc impossible de faire une réclamation. Donc plus de surveillance sur les choix de vos transporteurs et améliorations de la possibilité de joindre le service clientèle.",21 janvier 2025
Shein,2,Parce que je reçois toujours des choses cassées et des colis qui n'arrivent jamais et le plus gros problème c'est qu'ils disent qu'ils m'ont remboursé et ils ne m'ont jamais remboursé.,04 février 2025
Shein,3,Articles bien mais les jeux gratuits laissent à désirer carke ' ai jamais rien gagnée malgrés toutes mes invitations,23 janvier 2025
Shein,1,Colis non reçu et refus de remboursement,17 janvier 2025
Shein,1,"Cliente fidèle qu on vole sans remords !!! GLS, dit avoir deposé un colis, alors que je n etais pas a la maison. J habite dans un batiment, donc ce n est pas la premiere fois. Quand un voisin bienveillant tombe sur mon colis dans le hall, il me le garde et me le ramene plus tard. Mais il y a des gens malhonnêtes aussi, qui volent !C est la 1ere fois que ça m arrive avec Shein, et ils refusent de me rembourser !!! Ils ne veulent rien entendre... C est honteux surtout quand on commande plusieurs fois par mois !!!!",05 février 2025
Shein,1,"J’ai passé une grosse commande de plus de 130 € sur Shein pour mon mariage, en prenant bien soin de commander à l’avance pour respecter les délais et être bien organisée. J'avais commandé plusieurs accessoires essentiels : bijoux, cadeaux pour mes demoiselles d'honneur, éventails, etc.Cela fait maintenant plus d’un mois que j’attends ma commande, et elle est toujours soi-disant en ""expédition"". Voici le message que je reçois depuis le 20 janvier 2025 :""Nous vous prions de bien vouloir patienter pendant que nous continuons à demander instamment aux fournisseurs de services logistiques de livrer votre colis.""Le délai de livraison estimé était du 24 au 28 janvier, et malgré mes relances auprès du service client, je n’ai aucune information concrète sur l’arrivée de mes articles ! Certains de ces articles étant personnalisés, je ne peux pas me permettre de les remplacer à la dernière minute.Le service client a certes procédé à un remboursement intégral, mais aucune garantie que ma commande arrivera ou non. Résultat : je me retrouve dans une situation catastrophique pour mon mariage, sans mes accessoires essentiels, avec un énorme stress en plus à gérer !C’est inadmissible ! Cette expérience me dégoûte totalement, et je ne commanderai plus jamais sur Shein. À fuir pour toute commande importante ou événementielle ! 🚨",05 février 2025
Shein,1,"Première fois qu’on me vol un colis. Le livreur a quand même pris une photo pour dire qu’il a mis dans la boîte au lettre, quand mon mari y va, le colis n’y est plus !! Une commande de 125€. Je suis au bord de la crise de nerf. Et SHEIN qui me dit pas de remboursement d’écrire au service livraison. C’est vous qui travailler avec le service livraison. C’est à vous de faire le nécessaire. Je vais porter plainte. C’est choquant, je souhaite être remboursé Sachant que c’est une partie en carte cadeau !! Je dois recevoir l’autre moitié du colis, j’angoisse comme pas possible.  Est une honte SHEIN. Mon dossier est clean, j’ai jamais rien déclaré jusqu’ici. Et je viens de voir que ce transporteur CIRRO, a déjà produit ce genre demis. Prendre en photo pour preuve et se barrer avec le colis !! Chaque acte a des conséquences bordel !",04 février 2025
Shein,1,J’ai fait un achat sur SHEIN j’ai renvoyé un article et j’ai jamais reçu mon remboursement donc ils ont récupéré l’article et j’me suis fait arnaquer car j’ai perdu mon argent que j’ai jamais reçu !😡😡😡,05 février 2025
Shein,3,J'ai commandé 2 jupes pour ma femme. Qualité très ordinaire fermeture éclair de très mauvaise qualitée. Taille trop juste.Vu le prix c'est normal.,03 février 2025
Shein,2,"Une fois j’ai annuler ma commande , j’avais commandé deux quantités meme articles sans faire attention et j’ai enlevé un seul article, j’ai jamais été remboursé",03 février 2025
Shein,1,Ils envoient des colis vide et ils ne rembourses pas leurs clients.C’est vraiment catastrophique. !!,03 février 2025
Shein,1,"Lors de la réception de ma commande un article manquais, j’ai signalé et on refuse de me renvoyer l’article ou de me le rembourser sous prétexte que c’est écrit qu’il n’y a pas d’oublie. Il est malheureux car j’ai payé pour un article que je n’ai pas reçu et dont je n’arrive pas à réclamer mon du, j’ai relancer et je n’ai pas eut de réponse concernant mon cas.",20 janvier 2025
